RUA ESTADO DO ACRE                                                      BASE                                                                    RIO BRANCO                                                              ACRE                                                                    AC69908440 
TRAVESSA FEIJÓ                                                          BASE                                                                    RIO BRANCO                                                              ACRE                                                                    AC69908480 
RUA PLÍNIO BRANDÃO                                                      BASE                                                                    RIO BRANCO                                                              ACRE                                                                    AC69908490 
RUA RIO DE JANEIRO                                                      BASE                                                                    RIO BRANCO                                                              ACRE                                                                    AC69908695 
RUA RIO GRANDE DO SUL                                                   BASE                                                                    RIO BRANCO                                                              ACRE                                                                    AC69906430 
RUA RUI BARBOSA                                                         BASE                                                                    RIO BRANCO                                                              ACRE                                                                    AC69908680 
RUA SENA MADUREIRA                                                      BASE                                                                    RIO BRANCO                                                              ACRE                                                                    AC69908460 
RUA TARAUACÁ                                                            BASE                                                                    RIO BRANCO                                                              ACRE                                                                    AC69908500 
RUA XAPURI                                                              BASE                                                                    RIO BRANCO                                                              ACRE                                                                    AC69908450 
RUA PANAIR                                                              BASE                                                                    RIO BRANCO                                                              ACRE                                                                    AC69908700 
AVENIDA EPAMINONDAS JÁCOME                                              BASE                                                                    RIO BRANCO                                                              ACRE                                                                    AC69908420 
AVENIDA CEARÁ                                                           BASE                                                                    RIO BRANCO                                                              ACRE                                                                    AC69908690 
RUA CARNEIRO LEÃO                                                       BELA VISTA                                                              RIO BRANCO                                                              ACRE                                                                    AC69906425 
RUA ITAMARACÁ                                                           BELA VISTA                                                              RIO BRANCO                                                              ACRE                                                                    AC69906420 
RUA MACHADO DE ASSIS                                                    BELA VISTA                                                              RIO BRANCO                                                              ACRE                                                                    AC69906415 
RUA ALAGOAS                                                             BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69908310 
RUA DA ALEGRIA                                                          BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69908370 
RUA ALEXANDRE FARAH                                                     BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69909410 
RUA ALEXANDRE LOPES                                                     BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69909420 
RUA ALVORADA                                                            BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69909380 
RUA ANTÔNIO CAMELO                                                      BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69908290 
RUA ANTUNES DE ALENCAR                                                  BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69908220 
RUA BARÃO DO RIO BRANCO                                                 BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69908340 
RUA BARTOLOMEU BUENO                                                    BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69908360 
RUA BARTOLOMEU DIAS                                                     BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69909450 
RUA BELA VISTA                                                          BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69908280 
RUA CASTRO ALVES                                                        BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69908060 
AVENIDA CENTRAL                                                         BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69909540 
RUA COLÔMBIA                                                            BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69909700 
RUA CORONEL ALEXANDRINO                                                 BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69909730 
RUA CORONEL BRANDÃO                                                     BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69909470 
